paraphrase_type,count,mean,std,min,25%,50%,75%,max
instruct_react_tool_calls,1493.0,5.547890154052244,3.3335392327590823,0.0,3.0,6.0,9.0,10.0
instruct_recursive_self_reference,1493.0,5.491627595445412,3.684176124515463,0.0,2.0,6.0,9.0,10.0
instruct_redundant_waffle,1493.0,5.225050234427328,3.9899658932432303,0.0,1.0,6.0,9.0,10.0
instruct_regex_pattern,1492.0,3.8438337801608577,3.828360867101942,0.0,0.0,2.0,8.0,10.0
instruct_rhetorical_question,1493.0,5.74146014735432,3.660180229751249,0.0,2.0,7.0,9.0,10.0
instruct_risks_and_benefits,1493.0,5.278633623576691,2.761047564702996,0.0,3.0,5.0,7.0,10.0
instruct_role_expert_cot,1493.0,5.801071667782987,2.781825143602449,0.0,4.0,6.0,8.0,10.0
instruct_role_expert_cot_with_examples,1493.0,5.1500334896182185,2.5384961690903283,0.0,3.0,5.0,7.0,10.0
instruct_role_expert_cot_with_examples_and_explanations,1493.0,4.996651038178165,2.5700616060661132,0.0,3.0,5.0,7.0,10.0
instruct_role_expert_cot_with_examples_and_explanations_and_summary,1493.0,4.7407903549899535,2.484359367336604,0.0,3.0,5.0,6.0,10.0
instruct_role_expert_cot_with_examples_and_explanations_and_summary_and_risks,1493.0,4.309444072337575,2.3731966257032635,0.0,3.0,4.0,6.0,10.0
instruct_roleplay_knight,1492.0,5.765415549597855,3.8319752741787974,0.0,2.0,7.0,10.0,10.0
instruct_roman_numeral,1490.0,4.3436241610738255,3.8546514015522053,0.0,0.0,4.0,8.0,10.0
instruct_rubric_scored,1493.0,5.697923643670462,3.2412765543749273,0.0,3.0,6.0,9.0,10.0
instruct_rude,1493.0,5.4105827193569995,3.94272948768053,0.0,1.0,6.0,9.0,10.0
instruct_salesy,1493.0,4.92967180174146,3.8884940208418164,0.0,1.0,5.0,9.0,10.0
instruct_sarcastic,1493.0,4.537843268586738,3.9843117158944072,0.0,0.0,4.0,9.0,10.0
instruct_sardonic,1493.0,5.0663094440723375,3.889771022730518,0.0,1.0,6.0,9.0,10.0
instruct_scientific_notation,1490.0,4.273825503355705,3.7866435939509437,0.0,0.0,3.0,8.0,10.0
instruct_scots,1490.0,5.846979865771812,3.660097527151138,0.0,2.0,7.0,9.0,10.0
instruct_second_person,1493.0,6.397186872069659,3.4184748987356905,0.0,3.0,8.0,9.0,10.0
instruct_see_attached_diagram,1493.0,5.753516409912927,3.825210400812994,0.0,2.0,6.0,10.0,10.0
instruct_self_consistency,1493.0,5.14266577361018,2.9776437090069887,0.0,3.0,5.0,7.0,10.0
instruct_self_deprecating,1493.0,6.043536503683858,3.7650653704115444,0.0,2.0,7.0,10.0,10.0
instruct_sentence_fragment,1493.0,4.38780977896852,3.8490674802883302,0.0,0.0,4.0,8.0,10.0
instruct_several_html_tags,1493.0,6.6778298727394505,3.5436795837780024,0.0,4.0,8.0,10.0,10.0
instruct_shakespeare,1493.0,5.055592766242465,3.8219755605257277,0.0,1.0,5.0,9.0,10.0
instruct_short_paragraph,1493.0,6.314132618888145,3.478743552430973,0.0,3.0,7.0,10.0,10.0
instruct_sic_marker,1492.0,6.603887399463807,3.5797794008487713,0.0,4.0,8.0,10.0,10.0
instruct_silly,1493.0,5.793034159410583,3.8748041164065774,0.0,2.0,7.0,10.0,10.0
instruct_single_sentence,1493.0,5.539852645679839,3.6276860962035435,0.0,2.0,6.0,9.0,10.0
instruct_singlish,1490.0,6.413422818791946,3.486453834231825,0.0,4.0,7.0,10.0,10.0
instruct_skeptical,1493.0,4.794373744139317,3.9510979180912513,0.0,0.0,5.0,9.0,10.0
instruct_slang_heavy,1490.0,5.2194630872483225,3.7705546431933303,0.0,1.0,6.0,9.0,10.0
instruct_small_hex_blob,1493.0,2.3281982585398526,3.618835041814274,0.0,0.0,0.0,4.0,10.0
instruct_sms,1492.0,5.846514745308311,3.875999849516394,0.0,2.0,7.0,10.0,10.0
instruct_sms_abbrev,1489.0,5.1464069845533915,3.7106432286429483,0.0,1.0,5.0,9.0,10.0
instruct_socratic_dialogue,1493.0,4.421969189551239,3.2981999529053705,0.0,2.0,4.0,7.0,10.0
instruct_software_jargon,1490.0,4.696644295302013,3.820949219218599,0.0,1.0,5.0,9.0,10.0
instruct_spanglish,1490.0,6.21006711409396,3.561344683193527,0.0,3.0,7.0,10.0,10.0
instruct_spoiler_bars,1493.0,7.129939718687207,3.3239717205542965,0.0,5.0,9.0,10.0,10.0
instruct_sports_jargon,1490.0,5.718791946308725,3.7578816948435367,0.0,2.0,7.0,9.0,10.0
instruct_sql_snippet,1492.0,3.2071045576407506,3.729718658121338,0.0,0.0,1.0,6.0,10.0
instruct_statement,1493.0,6.389149363697254,3.4215552548108574,0.0,3.0,8.0,9.0,10.0
instruct_step_rationale,1493.0,6.09979906229069,2.9894956782037867,0.0,4.0,6.0,9.0,10.0
instruct_study_setup,1492.0,6.759383378016086,3.491161459815754,0.0,4.0,8.0,10.0,10.0
instruct_suggestion,1493.0,6.195579370395177,3.4605097742990374,0.0,3.0,7.0,9.0,10.0
instruct_summary_then_detail,1493.0,5.6965840589417285,3.2922396952417263,0.0,3.0,6.0,9.0,10.0
instruct_surreal,1493.0,4.645010046885465,3.9526228544504036,0.0,0.0,4.0,9.0,10.0
instruct_table_layout,1489.0,5.601746138347885,3.5931194944838647,0.0,2.0,6.0,9.0,10.0
instruct_tag_question,1493.0,5.860683188211654,3.623262466373815,0.0,2.0,7.0,9.0,10.0
instruct_tech_support_ticket,1492.0,6.552949061662199,3.6044179821471793,0.0,3.0,8.0,10.0,10.0
instruct_technical,1493.0,5.6463496316142,3.7151664204758443,0.0,2.0,7.0,9.0,10.0
instruct_therapy_session,1492.0,6.14142091152815,3.7218120273661492,0.0,3.0,7.0,10.0,10.0
instruct_third_person,1493.0,6.395847287340924,3.4182382474908906,0.0,3.0,8.0,9.0,10.0
instruct_three_typos_punctuation,1489.0,6.9422431161853595,3.166634787756056,0.0,5.0,8.0,10.0,10.0
instruct_timestamped_chat,1492.0,6.174262734584451,3.6227809359104604,0.0,3.0,7.0,10.0,10.0
instruct_topicalization,1489.0,6.690396239086636,3.3816663221545746,0.0,4.0,8.0,10.0,10.0
instruct_tweet,1492.0,6.538873994638069,3.558719400972275,0.0,4.0,8.0,10.0,10.0
instruct_two_sentence,1493.0,5.763563295378432,3.590979337552214,0.0,2.0,6.0,9.0,10.0
instruct_two_typos_punctuation,1489.0,7.052384150436534,3.1149477070924747,0.0,5.0,8.0,10.0,10.0
instruct_typo_adjacent,1489.0,6.321692411014103,3.451946362989993,0.0,3.0,7.0,9.0,10.0
instruct_typo_extra_letter,1489.0,6.442578912021491,3.4326606205887904,0.0,4.0,8.0,10.0,10.0
instruct_typo_extra_space,1489.0,6.724647414372062,3.281700794931596,0.0,4.0,8.0,10.0,10.0
instruct_typo_homophone,1489.0,6.118200134318334,3.5278459090933145,0.0,3.0,7.0,9.0,10.0
instruct_typo_missing_letter,1489.0,6.35191403626595,3.4428511179779844,0.0,3.0,7.0,10.0,10.0
instruct_typo_missing_space,1489.0,6.618535930154466,3.3151380151299943,0.0,4.0,8.0,10.0,10.0
instruct_typo_missing_vowels,1489.0,3.9610476830087307,3.721824326990393,0.0,0.0,3.0,8.0,10.0
instruct_typo_random,1489.0,6.092008059100067,3.5128790401140546,0.0,3.0,7.0,9.0,10.0
instruct_typo_repeated_letters,1489.0,6.3505708529214235,3.4566246602990485,0.0,3.0,7.0,10.0,10.0
instruct_typo_swap,1489.0,6.235728676964405,3.482122085260211,0.0,3.0,7.0,9.0,10.0
instruct_typo_swap_and_punctuation,1489.0,6.328408327736736,3.458510650435808,0.0,3.0,7.0,10.0,10.0
instruct_typo_swap_and_transpose_and_punctuation,1489.0,5.9422431161853595,3.586398374188467,0.0,3.0,7.0,9.0,10.0
instruct_typo_transpose,1489.0,6.280725319006044,3.479457458389394,0.0,3.0,7.0,10.0,10.0
instruct_typo_wrong_letter,1489.0,6.289456010745467,3.5147772206593784,0.0,3.0,7.0,10.0,10.0
instruct_urgent,1493.0,6.411922304085733,3.720430135178208,0.0,3.0,8.0,10.0,10.0
instruct_validator_pass,1493.0,6.220361687876758,3.601878140991536,0.0,3.0,7.0,10.0,10.0
instruct_very_formal,1490.0,6.114765100671141,3.6265729935424935,0.0,3.0,7.0,9.0,10.0
instruct_vulgar,1490.0,5.459060402684564,3.7570620929870118,0.0,2.0,6.0,9.0,10.0
instruct_warm,1493.0,6.288680509042197,3.446700514608333,0.0,3.0,7.0,9.0,10.0
instruct_wh_question,1493.0,6.257870060281313,3.4971953552922295,0.0,3.0,7.0,9.0,10.0
instruct_with_additional_context,1493.0,6.915606162089752,3.2026470260511175,0.0,4.0,8.0,10.0,10.0
instruct_with_analogies,1493.0,6.561955793703952,3.3505550627631084,0.0,4.0,8.0,10.0,10.0
instruct_with_case_studies,1493.0,6.506363027461487,3.1379359124071895,0.0,4.0,7.0,9.0,10.0
instruct_with_citations,1493.0,5.808439383791025,3.1600740717983444,0.0,3.0,6.0,9.0,10.0
instruct_with_counterarguments,1493.0,6.1801741460147355,3.190398333219948,0.0,4.0,7.0,9.0,10.0
instruct_with_detailed_instructions,1493.0,6.068988613529806,3.531730371754201,0.0,3.0,7.0,10.0,10.0
instruct_with_emotional_appeal,1493.0,6.334226389819156,3.4396580266262244,0.0,3.0,7.0,9.0,10.0
instruct_with_examples,1493.0,6.649698593436034,3.2658966109122716,0.0,4.0,8.0,10.0,10.0
instruct_with_examples_and_explanations,1493.0,6.438044206296048,3.1126653717582866,0.0,4.0,7.0,9.0,10.0
instruct_with_helpful_explanations,1493.0,6.83456128600134,3.3584091405789662,0.0,4.0,8.0,10.0,10.0
instruct_with_metaphors,1493.0,6.46483590087073,3.5109369414684215,0.0,3.0,8.0,10.0,10.0
instruct_with_personal_touch,1493.0,6.764902880107167,3.4026563616722196,0.0,4.0,8.0,10.0,10.0
instruct_with_rebuttals,1493.0,6.121902210314802,3.287580598480158,0.0,3.0,7.0,9.0,10.0
instruct_with_research_paper,1493.0,4.989283322170127,3.8085754562744154,0.0,1.0,5.0,9.0,10.0
instruct_with_similes,1493.0,6.656396517079705,3.4060279529674107,0.0,4.0,8.0,10.0,10.0
instruct_with_statistics,1493.0,6.2150033489618215,3.3755134576143657,0.0,3.0,7.0,9.0,10.0
instruct_with_step_by_step,1493.0,6.151373074346952,3.5058157049158822,0.0,3.0,7.0,10.0,10.0
instruct_with_stream_of_consciousness,1493.0,5.91828533154722,3.621135344975089,0.0,3.0,7.0,9.0,10.0
instruct_with_summary,1493.0,6.31078365706631,3.5023734180884722,0.0,3.0,7.0,10.0,10.0
instruct_with_technical_details,1493.0,6.243804420629605,3.2623507526893762,0.0,4.0,7.0,9.0,10.0
instruct_with_tldr_summary,1493.0,6.3523107836570665,3.4585524145447137,0.0,3.0,7.0,10.0,10.0
instruct_witty,1493.0,5.622906898861353,3.8407209115845604,0.0,2.0,7.0,9.0,10.0
instruct_yaml_block,1492.0,4.047587131367292,3.6543866048712546,0.0,1.0,3.0,8.0,10.0
instruct_yes_no,1493.0,5.735432016075017,3.646815023632022,0.0,2.0,7.0,9.0,10.0
instruction_original,1493.0,7.361018084393838,3.3711847915037674,0.0,5.0,9.0,10.0,10.0
